0.761999845505
         436836 function calls (433877 primitive calls) in 1.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.000    0.000 PyrexTypes.py:255(same_as)
        7    0.000    0.000    0.000    0.000 decorator.py:134(update)
     15/9    0.000    0.000    0.001    0.000 pyparsing.py:2240(copy)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:4(<module>)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
       49    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      138    0.000    0.000    0.000    0.000 {_sre.getlower}
       84    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       45    0.000    0.000    0.000    0.000 docstring.py:42(update)
        1    0.000    0.000    0.000    0.000 digraph.py:1(<module>)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:247(AitoffAxes)
        7    0.000    0.000    0.000    0.000 pyximport.py:132(handle_dependencies)
        1    0.000    0.000    0.000    0.000 Transitions.py:7(<module>)
       40    0.000    0.000    0.000    0.000 os.py:442(__contains__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       50    0.000    0.000    0.000    0.000 string.py:351(find)
      7/4    0.000    0.000    0.868    0.217 pyximport.py:200(load_module)
      553    0.000    0.000    0.000    0.000 {globals}
       14    0.000    0.000    0.000    0.000 ConfigParser.py:570(__getitem__)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
      8/4    0.000    0.000    0.000    0.000 pyparsing.py:2167(leaveWhitespace)
      197    0.000    0.000    0.000    0.000 __init__.py:775(<genexpr>)
        3    0.000    0.000    0.000    0.000 decimal.py:3782(__init__)
       14    0.000    0.000    0.000    0.000 PyrexTypes.py:2157(__init__)
        1    0.000    0.000    0.000    0.000 path.py:27(Path)
       72    0.000    0.000    0.000    0.000 string.py:308(join)
        1    0.000    0.000    0.000    0.000 multigraph.py:1(<module>)
        2    0.000    0.000    0.000    0.000 TypeSlots.py:322(__init__)
        1    0.000    0.000    0.000    0.000 tritools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:766(RcParams)
       14    0.000    0.000    0.000    0.000 collections.py:187(copy)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
       14    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
       62    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
        1    0.000    0.000    0.000    0.000 geo.py:506(LambertAxes)
       13    0.000    0.000    0.000    0.000 pyparsing.py:801(setParseAction)
       59    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 tempfile.py:230(_mkstemp_inner)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 collections.py:29(Collection)
        1    0.000    0.000    0.000    0.000 geo.py:19(GeoAxes)
       20    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        6    0.000    0.000    0.000    0.000 Utils.py:16(cached_function)
        9    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       70    0.000    0.000    0.000    0.000 string.py:248(strip)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 ccompiler.py:4(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:406(MollweideAxes)
        7    0.000    0.000    0.000    0.000 build_ext.py:117(initialize_options)
       65    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.000    0.000 legend.py:90(Legend)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
       18    0.000    0.000    0.000    0.000 random.py:272(choice)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3256(<lambda>)
      174    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
       34    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 cygwinccompiler.py:59(get_msvcr)
        1    0.000    0.000    0.000    0.000 lines.py:73(Line2D)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:326(HammerAxes)
        7    0.000    0.000    0.004    0.001 glob.py:29(iglob)
       22    0.000    0.000    0.003    0.000 decorators.py:131(open_file)
       12    0.000    0.000    0.000    0.000 pyparsing.py:420(__iadd__)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
       62    0.000    0.000    0.000    0.000 collections.py:347(<genexpr>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {cmp}
        1    0.000    0.000    0.000    0.000 figure.py:233(Figure)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.018    0.018 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 image.py:33(_AxesImageBase)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
      160    0.000    0.000    0.000    0.000 sre_parse.py:211(isident)
        1    0.000    0.000    0.000    0.000 getopt.py:15(<module>)
        1    0.000    0.000    0.002    0.002 laplacianmatrix.py:3(<module>)
        1    0.000    0.000    0.001    0.001 texmanager.py:86(TexManager)
        1    0.000    0.000    0.001    0.001 katz.py:3(<module>)
        1    0.000    0.000    0.000    0.000 os.py:433(clear)
      108    0.000    0.000    0.000    0.000 Shadow.py:275(PointerInstance)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
       21    0.000    0.000    0.000    0.000 collections.py:108(items)
       22    0.000    0.000    0.000    0.000 sysconfig.py:66(get_python_inc)
       21    0.000    0.000    0.000    0.000 fancy_getopt.py:120(_check_alias_dict)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:66(Artist)
        4    0.000    0.000    0.001    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 os.py:462(copy)
       12    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
       21    0.000    0.000    0.002    0.000 decorators.py:10(not_implemented_for)
        1    0.000    0.000    0.000    0.000 gexf.py:164(GEXF)
        1    0.000    0.000    0.000    0.000 unixccompiler.py:14(<module>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1342(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:290(parser)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       67    0.000    0.000    0.000    0.000 core.py:5776(isMaskedArray)
       28    0.000    0.000    0.000    0.000 dist.py:289(get_option_dict)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
        1    0.000    0.000    0.000    0.000 path.py:965(_define_deprecated_functions)
        1    0.000    0.000    0.000    0.000 transforms.py:243(BboxBase)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       23    0.000    0.000    0.000    0.000 TypeSlots.py:265(__init__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
      187    0.000    0.000    0.000    0.000 pyparsing.py:1609(<genexpr>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
       13    0.000    0.000    0.000    0.000 pyparsing.py:687(_trim_arity)
        3    0.000    0.000    0.001    0.000 tempfile.py:430(NamedTemporaryFile)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
        7    0.000    0.000    0.000    0.000 pyximport.py:404(__init__)
        1    0.000    0.000    0.000    0.000 backend_qt4.py:142(FigureCanvasQT)
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
        7    0.000    0.000    0.000    0.000 collections.py:104(values)
      7/4    0.000    0.000    0.868    0.217 pyximport.py:414(load_module)
        1    0.000    0.000    0.000    0.000 axes.py:9342(subplot_class_factory)
        2    0.000    0.000    0.000    0.000 {function seed at 0x000000000277C828}
       22    0.000    0.000    0.000    0.000 log.py:19(_log)
        7    0.000    0.000    0.000    0.000 pyximport.py:106(handle_special_build)
        2    0.000    0.000    0.001    0.001 random.py:100(seed)
       37    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        2    0.000    0.000    0.001    0.001 pyparsing.py:3264(srange)
       14    0.000    0.000    0.000    0.000 log.py:39(info)
       97    0.000    0.000    0.000    0.000 pyparsing.py:3262(<genexpr>)
      111    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
       23    0.000    0.000    0.000    0.000 core.py:6063(__init__)
        7    0.000    0.000    0.000    0.000 fancy_getopt.py:45(__init__)
       21    0.000    0.000    0.000    0.000 re.py:134(match)
        1    0.000    0.000    0.000    0.000 scale.py:518(get_scale_docs)
        1    0.000    0.000    0.000    0.000 graphml.py:199(GraphML)
       29    0.000    0.000    0.000    0.000 pyparsing.py:1386(__str__)
        1    0.000    0.000    0.000    0.000 TypeSlots.py:16(Signature)
        6    0.000    0.000    0.000    0.000 decimal.py:515(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        7    0.000    0.000    0.267    0.038 build_ext.py:154(run)
       64    0.000    0.000    0.000    0.000 os.py:405(unsetenv)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
      420    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       21    0.000    0.000    0.000    0.000 sysconfig.py:471(get_config_var)
        9    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 parser.py:702(_result)
       43    0.000    0.000    0.000    0.000 PyrexTypes.py:258(same_as_resolved_type)
        1    0.000    0.000    0.000    0.000 special_matrices.py:1(<module>)
       23    0.000    0.000    0.000    0.000 TypeSlots.py:254(__init__)
       16    0.000    0.000    0.000    0.000 {strop.maketrans}
        1    0.000    0.000    0.000    0.000 release.py:30(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2428(seterr)
      109    0.000    0.000    0.000    0.000 rcsetup.py:44(func)
        4    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        1    0.000    0.000    0.000    0.000 astar.py:3(<module>)
        7    0.000    0.000    0.000    0.000 build_ext.py:429(get_outputs)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
       83    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
        1    0.000    0.000    0.006    0.006 font_manager.py:942(pickle_load)
        1    0.000    0.000    0.000    0.000 Naming.py:9(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:501(cast)
       14    0.000    0.000    0.000    0.000 collections.py:64(__delitem__)
       31    0.000    0.000    0.000    0.000 PyrexTypes.py:1419(__init__)
        1    0.000    0.000    0.000    0.000 {_winreg.ConnectRegistry}
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        7    0.000    0.000    0.000    0.000 sysconfig.py:218(get_config_h_filename)
        7    0.000    0.000    0.001    0.000 build_ext.py:143(finalize_options)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        8    0.000    0.000    0.000    0.000 core.py:7295(getdoc)
      105    0.000    0.000    0.000    0.000 {unichr}
        7    0.000    0.000    0.000    0.000 __init__.py:483(_get_home)
       95    0.000    0.000    0.000    0.000 pyparsing.py:163(<genexpr>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 build.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
       32    0.000    0.000    0.000    0.000 pyparsing.py:169(__init__)
        1    0.000    0.000    0.000    0.000 clique.py:13(<module>)
        1    0.000    0.000    0.000    0.000 lsmr.py:17(<module>)
        7    0.000    0.000    0.000    0.000 dist.py:782(get_command_packages)
        1    0.000    0.000    0.000    0.000 {built-in method now}
       19    0.000    0.000    0.000    0.000 __init__.py:290(report)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        1    0.000    0.000    0.000    0.000 axis.py:599(Axis)
        7    0.000    0.000    0.000    0.000 PyrexTypes.py:3103(__init__)
       12    0.000    0.000    0.000    0.000 os.py:444(get)
        6    0.000    0.000    0.000    0.000 core.py:1059(__init__)
        6    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 {_winreg.OpenKey}
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
       75    0.000    0.000    0.000    0.000 docstring.py:110(copy_dedent)
     16/2    0.000    0.000    0.001    0.000 pyparsing.py:2541(parseImpl)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
        4    0.000    0.000    0.000    0.000 polynomial.py:1038(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:113(compare_versions)
        2    0.000    0.000    0.018    0.009 machar.py:97(__init__)
        1    0.000    0.000    0.001    0.001 gml.py:24(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:46(Patch)
        1    0.000    0.000    0.000    0.000 parser.py:700(_tzparser)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3137(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 transforms.py:761(Bbox)
        4    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
       13    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.000    0.000    0.000    0.000 new.py:5(<module>)
        3    0.000    0.000    0.000    0.000 numerictypes.py:611(obj2sctype)
      170    0.000    0.000    0.000    0.000 {method 'start' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 triplot.py:1(<module>)
     14/7    0.000    0.000    0.001    0.000 cmd.py:107(ensure_finalized)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 pyparsing.py:2728(__init__)
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.result_type}
        3    0.000    0.000    0.000    0.000 PyrexTypes.py:1730(__init__)
        1    0.000    0.000    0.000    0.000 text.py:143(Text)
        1    0.000    0.000    0.000    0.000 sparsegraph6.py:16(<module>)
       76    0.000    0.000    0.000    0.000 docstring.py:91(copy)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 colorbar.py:214(ColorbarBase)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3145(oneOf)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2683(parseImpl)
        1    0.000    0.000    0.000    0.000 multiline_adjlist.py:27(<module>)
        1    0.000    0.000    0.001    0.001 adjlist.py:24(<module>)
       31    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
        1    0.000    0.000    0.000    0.000 rv.py:1(<module>)
       18    0.000    0.000    0.000    0.000 data.py:85(_create_method)
        8    0.000    0.000    0.000    0.000 {thread.allocate_lock}
       32    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        2    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 edgelist.py:28(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       50    0.000    0.000    0.000    0.000 pyparsing.py:1392(streamline)
        1    0.000    0.000    0.036    0.036 __init__.py:14(pylab_setup)
        3    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        1    0.000    0.000    0.000    0.000 breadth_first_search.py:7(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:686(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 base.py:55(spmatrix)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        5    0.000    0.000    0.000    0.000 cbook.py:1244(__init__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2904(__init__)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:190(eye)
        1    0.000    0.000    0.000    0.000 current_flow_betweenness.py:3(<module>)
       51    0.000    0.000    0.000    0.000 docstring.py:77(__init__)
        1    0.000    0.000    0.000    0.000 threshold.py:3(<module>)
     11/4    0.000    0.000    0.000    0.000 pyparsing.py:2566(streamline)
       17    0.000    0.000    0.000    0.000 pyparsing.py:756(setName)
        1    0.000    0.000    0.000    0.000 tripcolor.py:1(<module>)
       23    0.000    0.000    0.000    0.000 sysconfig.py:433(get_config_vars)
        1    0.000    0.000    0.000    0.000 betweenness_subset.py:3(<module>)
        3    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:123(RendererBase)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2245(And)
      8/4    0.000    0.000    0.001    0.000 pyparsing.py:2547(leaveWhitespace)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1454(setName)
        1    0.000    0.000    0.000    0.000 pajek.py:14(<module>)
        1    0.000    0.000    0.000    0.000 lsqr.py:50(<module>)
        1    0.000    0.000    0.000    0.000 tight_bbox.py:3(<module>)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        3    0.000    0.000    0.000    0.000 PyrexTypes.py:1431(declaration_code)
       62    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:322(ge)
        2    0.000    0.000    0.000    0.000 msvccompiler.py:153(get_build_version)
        6    0.000    0.000    0.000    0.000 numeric.py:2524(geterr)
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
        1    0.000    0.000    0.000    0.000 decomp_qr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:674(GraphicsContextBase)
        6    0.000    0.000    0.000    0.000 decorator.py:63(__init__)
        1    0.000    0.000    0.000    0.000 graphical.py:3(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3262(<lambda>)
        1    0.000    0.000    0.000    0.000 _linprog.py:16(<module>)
        1    0.000    0.000    0.000    0.000 leda.py:10(<module>)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        6    0.000    0.000    0.000    0.000 tempfile.py:382(__getattr__)
       14    0.000    0.000    0.000    0.000 fancy_getopt.py:137(set_negative_aliases)
        1    0.000    0.000    0.000    0.000 formlayout.py:76(ColorButton)
       21    0.000    0.000    0.000    0.000 glob.py:94(has_magic)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mathtext.py:665(BakomaFonts)
        1    0.000    0.000    0.000    0.000 _onenormest.py:2(<module>)
       12    0.000    0.000    0.000    0.000 getlimits.py:149(<lambda>)
        3    0.000    0.000    0.000    0.000 tempfile.py:124(rng)
        7    0.000    0.000    0.000    0.000 dist.py:1026(__init__)
        3    0.000    0.000    0.000    0.000 doccer.py:116(_doc)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
       14    0.000    0.000    0.000    0.000 ConfigParser.py:657(_interpolate)
        7    0.000    0.000    0.268    0.038 dist.py:947(run_commands)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2382(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:692(wrapper)
        7    0.000    0.000    0.000    0.000 pyparsing.py:1253(__or__)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 directed.py:9(<module>)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 unary.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1503(parseImpl)
        4    0.000    0.000    0.000    0.000 function_base.py:1331(trim_zeros)
        1    0.000    0.000    0.000    0.000 pyparsing.py:705(ParserElement)
        1    0.000    0.000    0.000    0.000 nx_pylab.py:15(<module>)
        4    0.000    0.000    0.001    0.000 pyparsing.py:2924(__init__)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 _distr_params.py:3(<module>)
       34    0.000    0.000    0.000    0.000 Shadow.py:301(__init__)
        7    0.000    0.000    0.000    0.000 build.py:55(initialize_options)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nx_yaml.py:15(<module>)
        1    0.000    0.000    0.000    0.000 backend_agg.py:55(RendererAgg)
        1    0.000    0.000    0.000    0.000 mincost.py:4(<module>)
        1    0.000    0.000    0.000    0.000 uuid.py:53(UUID)
        1    0.000    0.000    0.000    0.000 lil.py:24(lil_matrix)
        1    0.000    0.000    0.000    0.000 compressed.py:21(_cs_matrix)
        1    0.000    0.000    0.000    0.000 __init__.py:112(_add2path)
        1    0.000    0.000    0.000    0.000 graph.py:25(Graph)
        1    0.000    0.000    0.000    0.000 threading.py:654(__init__)
        1    0.000    0.000    0.000    0.000 pyximport.py:455(install)
        1    0.000    0.000    0.000    0.000 afm.py:335(AFM)
        2    0.000    0.000    0.000    0.000 {PyQt4.QtCore.pyqtSlot}
       56    0.000    0.000    0.000    0.000 glob.py:77(<lambda>)
        1    0.000    0.000    0.000    0.000 contingency.py:2(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:200(__init__)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:1192(rv_continuous)
        9    0.000    0.000    0.000    0.000 core.py:2439(getdoc)
        4    0.000    0.000    0.000    0.000 shape_base.py:8(atleast_1d)
        7    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
       24    0.000    0.000    0.000    0.000 getlimits.py:13(_frz)
       94    0.000    0.000    0.000    0.000 pyparsing.py:3361(<genexpr>)
        1    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:14(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:638(Thread)
        1    0.000    0.000    0.000    0.000 _constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 file_util.py:4(<module>)
        8    0.000    0.000    0.000    0.000 log.py:36(debug)
       27    0.000    0.000    0.000    0.000 decimal.py:3809(<genexpr>)
        9    0.000    0.000    0.001    0.000 decorators.py:67(require)
        7    0.000    0.000    0.000    0.000 pyparsing.py:764(setResultsName)
        1    0.000    0.000    0.000    0.000 Image.py:444(Image)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 polar.py:212(PolarAxes)
        4    0.000    0.000    0.000    0.000 __init__.py:780(__setitem__)
       22    0.000    0.000    0.000    0.000 pyparsing.py:315(__getitem__)
        3    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        4    0.000    0.000    0.000    0.000 pyparsing.py:324(__setitem__)
       28    0.000    0.000    0.000    0.000 ConfigParser.py:373(optionxform)
        1    0.000    0.000    0.000    0.000 product.py:3(<module>)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7290(__init__)
        1    0.000    0.000    0.000    0.000 isomorph.py:3(<module>)
        1    0.000    0.000    0.000    0.000 euler.py:4(<module>)
       16    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 getlimits.py:148(<lambda>)
        1    0.000    0.000    0.000    0.000 linalg_version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pairs.py:2(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ccompiler.py:23(CCompiler)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binary.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        2    0.000    0.000    0.000    0.000 utils.py:17(get_include)
        1    0.000    0.000    0.000    0.000 redundancy.py:2(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:1878(IdentityTransform)
        1    0.000    0.000    0.000    0.000 pagerank_alg.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(DescribeResult)
       73    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 dist.py:594(finalize_options)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 matching.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
        5    0.000    0.000    0.000    0.000 iterative.py:71(combine)
        2    0.000    0.000    0.000    0.000 {_csv.register_dialect}
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 cluster.py:7(<module>)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 geo.py:509(LambertTransform)
        1    0.000    0.000    0.000    0.000 unweighted.py:4(<module>)
        2    0.000    0.000    0.000    0.000 warnings.py:74(simplefilter)
        1    0.000    0.000    0.000    0.000 decimal.py:3763(Context)
        1    0.000    0.000    0.000    0.000 Version.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:83(tzlocal)
        7    0.000    0.000    0.000    0.000 dist.py:490(_get_toplevel_options)
       13    0.000    0.000    0.000    0.000 numerictypes.py:185(english_capitalize)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 distance_measures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:747(ContourSet)
        1    0.000    0.000    0.000    0.000 dates.py:232(strpdate2num)
        1    0.000    0.000    0.000    0.000 patches.py:929(Arrow)
        2    0.000    0.000    0.001    0.001 pyparsing.py:1000(parseString)
