0.761999845505
         436836 function calls (433877 primitive calls) in 1.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.003    0.003 __init__.py:15(<module>)
     3651    0.002    0.000    0.003    0.000 sre_parse.py:131(__getitem__)
      935    0.002    0.000    0.007    0.000 inspect.py:803(getargspec)
        2    0.002    0.001    0.011    0.005 __init__.py:45(<module>)
        1    0.002    0.002    0.002    0.002 collections.py:1(<module>)
        1    0.002    0.002    0.019    0.019 inspect.py:25(<module>)
        1    0.002    0.002    0.034    0.034 pyxbuild.py:5(<module>)
        1    0.002    0.002    0.002    0.002 _ode.py:39(<module>)
     2024    0.002    0.000    0.010    0.000 fromnumeric.py:1772(any)
       99    0.002    0.000    0.016    0.000 _distn_infrastructure.py:619(_construct_argparser)
        1    0.002    0.002    0.005    0.005 basic.py:7(<module>)
    14398    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     4765    0.002    0.000    0.005    0.000 sre_parse.py:202(get)
      144    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.013    0.013 pilutil.py:7(<module>)
        1    0.002    0.002    0.004    0.004 _minimize.py:8(<module>)
        1    0.002    0.002    0.085    0.085 colorbar.py:20(<module>)
        1    0.001    0.001    0.005    0.005 ElementTree.py:59(<module>)
        1    0.001    0.001    0.002    0.002 blas.py:143(<module>)
       35    0.001    0.000    0.001    0.000 {dir}
        1    0.001    0.001    0.017    0.017 graphml.py:36(<module>)
        1    0.001    0.001    0.007    0.007 dates.py:108(<module>)
        1    0.001    0.001    0.033    0.033 backend_qt4.py:1(<module>)
     9247    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.002    0.002 __init__.py:86(<module>)
       14    0.001    0.000    0.002    0.000 fancy_getopt.py:146(_grok_option_table)
     1398    0.001    0.000    0.001    0.000 {range}
     2638    0.001    0.000    0.001    0.000 ntpath.py:122(splitdrive)
      108    0.001    0.000    0.001    0.000 Shadow.py:274(pointer)
       11    0.001    0.000    0.003    0.000 artist.py:883(get_aliases)
        1    0.001    0.001    0.028    0.028 misc.py:10(<module>)
        1    0.001    0.001    0.026    0.026 build_ext.py:4(<module>)
        1    0.001    0.001    0.162    0.162 pyplot.py:17(<module>)
        1    0.001    0.001    0.007    0.007 fractions.py:4(<module>)
     1569    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.058    0.058 collections.py:10(<module>)
        1    0.001    0.001    0.003    0.003 rrule.py:6(<module>)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
       99    0.001    0.000    0.060    0.001 _distn_infrastructure.py:696(_construct_doc)
        1    0.001    0.001    0.051    0.051 backend_bases.py:28(<module>)
        1    0.001    0.001    0.022    0.022 _decorator2.py:29(<module>)
        1    0.001    0.001    0.001    0.001 lil.py:2(<module>)
     1263    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.195    0.195 stats.py:168(<module>)
        1    0.001    0.001    0.003    0.003 mlab.py:142(<module>)
